# Time-averaged data for fix PressAve
# TimeStep c_P
14200000 110.094
14210000 -6.7413
14220000 168.704
14230000 -85.5689
14240000 -145.316
14250000 -119.724
14260000 -109.396
14270000 2.70192
14280000 85.5559
14290000 -4.25358
14300000 106.257
14310000 60.993
14320000 -117.013
14330000 -24.2496
14340000 26.7507
14350000 7.24052
14360000 154.373
14370000 -119.242
14380000 26.9737
14390000 -142.552
14400000 -26.4067
14410000 142.421
14420000 -3.98582
14430000 -23.9921
14440000 0.978963
14450000 153.017
14460000 -27.6942
14470000 99.0025
14480000 162.163
14490000 97.1238
14500000 -106.016
14510000 14.8048
14520000 218.036
14530000 -108.129
14540000 110.091
14550000 107.038
14560000 -26.2224
14570000 115.743
14580000 307
14590000 -12.6036
14600000 -27.5015
14610000 173.908
14620000 -54.8536
14630000 179.933
14640000 123.36
14650000 65.884
14660000 51.5813
14670000 73.7937
14680000 37.5678
14690000 31.0084
14700000 86.7691
14710000 -81.6642
14720000 98.742
14730000 0.96682
14740000 82.1608
14750000 -7.79219
14760000 196.49
14770000 171.031
14780000 63.921
14790000 107.755
14800000 82.0684
14810000 -85.9977
14820000 -132.288
14830000 63.4776
14840000 -75.8018
14850000 -36.8979
14860000 73.2241
14870000 115.483
14880000 136.209
14890000 167.87
14900000 116.592
14910000 -82.2147
14920000 15.1762
14930000 -7.95879
14940000 127.088
14950000 74.1977
14960000 53.1279
14970000 41.1902
14980000 -38.2999
14990000 -159.963
15000000 80.5826
15010000 47.4489
15020000 181.836
15030000 9.64586
15040000 69.8329
15050000 52.1813
15060000 19.9911
15070000 -147.168
15080000 -46.0909
15090000 -23.887
15100000 125.334
15110000 108.82
15120000 -7.02107
15130000 119.043
15140000 -24.3488
15150000 -1.28513
15160000 -103.208
15170000 -60.4268
15180000 165.842
15190000 56.8125
15200000 28.4764
15210000 24.1081
15220000 139.872
15230000 151.267
15240000 98.3495
15250000 113.684
15260000 37.3324
15270000 -76.8738
15280000 29.6746
15290000 -101.594
15300000 -245.855
15310000 -158.161
15320000 6.29926
15330000 -7.84212
15340000 -67.2167
15350000 40.5542
15360000 21.0421
15370000 -26.0929
15380000 -24.0577
15390000 -10.2994
15400000 114.951
15410000 87.8005
15420000 92.2333
15430000 -110.182
15440000 10.9676
15450000 -160.486
15460000 125.279
15470000 -204.576
15480000 -200.281
15490000 -81.8586
15500000 -13.715
15510000 -202.392
15520000 96.8371
15530000 225.419
15540000 -149.515
15550000 47.2928
